cap_no,name,ground_year
1,GS Chappell,"Australia v England at Melbourne, 1970/71"
2,IM Chappell,"Australia v England at Melbourne, 1970/71"
3,AN Connolly,"Australia v England at Melbourne, 1970/71"
4,WM Lawry,"Australia v England at Melbourne, 1970/71"
5,GD McKenzie,"Australia v England at Melbourne, 1970/71"
6,AA Mallett,"Australia v England at Melbourne, 1970/71"
7,RW Marsh,"Australia v England at Melbourne, 1970/71"
8,IR Redpath,"Australia v England at Melbourne, 1970/71"
9,KR Stackpole,"Australia v England at Melbourne, 1970/71"
10,AL Thomson,"Australia v England at Melbourne, 1970/71"
11,KD Walters,"Australia v England at Melbourne, 1970/71"
12,R Edwards,"England v Australia at Manchester, 1972"
13,DK Lillee,"England v Australia at Manchester, 1972"
14,RAL Massie,"England v Australia at Manchester, 1972"
15,AP Sheahan,"England v Australia at Manchester, 1972"
16,GD Watson,"England v Australia at Manchester, 1972"
17,DJ Colley,"England v Australia at Lord's, 1972"
18,JR Hammond,"England v Australia at Birmingham, 1972"
19,RJ Bright,"New Zealand v Australia at Dunedin, 1973/74"
20,IC Davis,"New Zealand v Australia at Dunedin, 1973/74"
21,G Dymock,"New Zealand v Australia at Dunedin, 1973/74"
22,GJ Gilmour,"New Zealand v Australia at Dunedin, 1973/74"
23,MHN Walker,"New Zealand v Australia at Dunedin, 1973/74"
24,AJ Woodcock,"New Zealand v Australia at Christchurch, 1973/74"
25,WJ Edwards,"Australia v England at Melbourne, 1974/75"
26,AG Hurst,"Australia v England at Melbourne, 1974/75"
27,TJ Jenner,"Australia v England at Melbourne, 1974/75"
28,JR Thomson,"Australia v England at Melbourne, 1974/75"
29,RB McCosker,"Australia v Pakistan at Leeds, 1975"
30,A Turner,"Australia v Pakistan at Leeds, 1975"
31,GJ Cosier,"Australia v West Indies at Adelaide, 1975/76"
32,DW Hookes,"England v Australia at Manchester, 1977"
33,MF Malone,"England v Australia at Manchester, 1977"
34,KJ O'Keeffe,"England v Australia at Manchester, 1977"
35,LS Pascoe,"England v Australia at Manchester, 1977"
36,CS Serjeant,"England v Australia at Manchester, 1977"
37,KJ Hughes,"England v Australia at Birmingham, 1977"
38,RD Robinson,"England v Australia at Birmingham, 1977"
39,IW Callen,"West Indies v Australia at St John's, 1977/78"
40,WM Clark,"West Indies v Australia at St John's, 1977/78"
41,WM Darling,"West Indies v Australia at St John's, 1977/78"
42,TJ Laughlin,"West Indies v Australia at St John's, 1977/78"
43,SJ Rixon,"West Indies v Australia at St John's, 1977/78"
44,RB Simpson,"West Indies v Australia at St John's, 1977/78"
45,PM Toohey,"West Indies v Australia at St John's, 1977/78"
46,GM Wood,"West Indies v Australia at St John's, 1977/78"
47,GN Yallop,"West Indies v Australia at St John's, 1977/78"
48,B Yardley,"West Indies v Australia at Castries, 1977/78"
49,AR Border,"Australia v England at Sydney, 1978/79"
50,PH Carlson,"Australia v England at Sydney, 1978/79"
51,JA Maclean,"Australia v England at Sydney, 1978/79"
52,AMJ Hilditch,"Australia v England at Melbourne, 1978/79"
53,RM Hogg,"Australia v England at Melbourne, 1978/79"
54,KJ Wright,"Australia v England at Melbourne, 1978/79"
55,JK Moss,"Australia v Pakistan at Nottingham, 1979"
56,GD Porter,"Australia v Pakistan at Nottingham, 1979"
57,BM Laird,"Australia v West Indies at Sydney, 1979/80"
58,JM Wiener,"Australia v England at Melbourne, 1979/80"
59,DF Whatmore,"Australia v West Indies at Sydney, 1979/80"
60,J Dyson,"England v Australia at Birmingham, 1980"
61,TM Chappell,"Australia v New Zealand at Adelaide, 1980/81"
62,SF Graf,"Australia v New Zealand at Adelaide, 1980/81"
63,GF Lawson,"Australia v New Zealand at Adelaide, 1980/81"
64,MF Kent,"Australia v New Zealand at Sydney, 1980/81"
65,GR Beard,"Australia v New Zealand at Melbourne, 1980/81"
66,TM Alderman,"England v Australia at Birmingham, 1981"
67,DM Wellham,"Australia v Pakistan at Sydney, 1981/82"
68,GM Ritchie,"Pakistan v Australia at Lahore, 1982/83"
69,WB Phillips,"Pakistan v Australia at Karachi, 1982/83"
70,CG Rackemann,"Australia v New Zealand at Melbourne, 1982/83"
71,KC Wessels,"Australia v New Zealand at Melbourne, 1982/83"
72,JN Maguire,"Australia v England at Melbourne, 1982/83"
73,TG Hogan,"Australia v New Zealand at Adelaide, 1982/83"
74,KH MacLeay,"Australia v New Zealand at Adelaide, 1982/83"
75,SB Smith,"Australia v New Zealand at Perth, 1982/83"
76,MR Whitney,"Australia v New Zealand at Sydney, 1982/83"
77,RD Woolley,"Sri Lanka v Australia at Colombo (PSS), 1982/83"
78,GRJ Matthews,"Australia v West Indies at Melbourne, 1983/84"
79,DM Jones,"Australia v Pakistan at Adelaide, 1983/84"
80,DC Boon,"Australia v West Indies at Melbourne, 1983/84"
81,MJ Bennett,"India v Australia at Indore, 1984/85"
