cap_no,name,ground_year
1,AJ Burger,"Zimbabwe v Namibia at Harare, 2002/03"
2,LJ Burger,"Zimbabwe v Namibia at Harare, 2002/03"
3,M Karg,"Zimbabwe v Namibia at Harare, 2002/03"
4,D Keulder,"Zimbabwe v Namibia at Harare, 2002/03"
5,BL Kotze,"Zimbabwe v Namibia at Harare, 2002/03"
6,DB Kotze,"Zimbabwe v Namibia at Harare, 2002/03"
7,JL Louw,"Zimbabwe v Namibia at Harare, 2002/03"
8,GB Murgatroyd,"Zimbabwe v Namibia at Harare, 2002/03"
9,G Snyman,"Zimbabwe v Namibia at Harare, 2002/03"
10,SJ Swanepoel,"Zimbabwe v Namibia at Harare, 2002/03"
11,R Walters,"Zimbabwe v Namibia at Harare, 2002/03"
12,M van Schoor,"Namibia v Pakistan at Kimberley, 2002/03"
13,RJ van Vuuren,"Namibia v Pakistan at Kimberley, 2002/03"
14,SF Burger,"England v Namibia at Port Elizabeth, 2002/03"
15,BO van Rooi,"India v Namibia at Pietermaritzburg, 2002/03"
16,SJ Baard,"Namibia v Oman at Windhoek, 2019"
17,K Birkenstock,"Namibia v Oman at Windhoek, 2019"
18,MG Erasmus,"Namibia v Oman at Windhoek, 2019"
19,JN Frylinck,"Namibia v Oman at Windhoek, 2019"
20,ZE Green,"Namibia v Oman at Windhoek, 2019"
21,JP Kotze,"Namibia v Oman at Windhoek, 2019"
22,BM Scholtz,"Namibia v Oman at Windhoek, 2019"
23,JJ Smit,"Namibia v Oman at Windhoek, 2019"
24,C Viljoen,"Namibia v Oman at Windhoek, 2019"
25,CG Williams,"Namibia v Oman at Windhoek, 2019"
26,HN Ya France,"Namibia v Oman at Windhoek, 2019"
