Names,Runs,Innings,Average
" Asghar Afghan 
","2,078",102,23.88
" Dawlat Ahmadzai
",–,3,–
" Hamid Hassan
",92,33,7.07
" Hasti Gul
",23,2,–
" Karim Sadiq 
",475,24,23.75
" Khaleqdaad Noori
",40,6,13.33
" Mohammad Nabi 
","2,592",112,29.12
" Nawroz Mangal 
","1,139",49,27.11
" Noor Ali Zadran
","1,153",48,25.06
" Raees Ahmadzai
",88,5,29.33
" Samiullah Shenwari
","1,737",81,28.47
" Ahmed Shah
",2,1,2.00
" Mirwais Ashraf
",387,46,14.33
" Mohammad Shahzad 
","2,720",82,34.43
" Shapoor Zadran
",67,44,6.70
" Shafiqullah 
",430,24,22.63
" Aftab Alam
",66,24,13.20
" Shabir Noori
",191,10,19.10
" Javed Ahmadi
",971,42,24.89
" Noor-ul-Haq
",12,2,6.00
" Abdullah Mazari
",3,2,3.00
" Izatullah Dawlatzai
",7,5,3.50
" Dawlat Zadran
",502,77,20.08
" Gulbadin Naib 
",830,55,21.84
" Amir Hamza
",23,31,3.28
" Zakiullah Zaki
",3,1,–
" Najibullah Zadran
","1,270",56,30.23
" Mohibullah Oryakhel
",–,2,–
" Rahmat Shah
","2,001",61,36.38
" Hashmatullah Shahidi
",865,31,34.60
" Usman Ghani
",411,15,27.40
" Sharafuddin Ashraf
",53,15,8.83
" Nasir Jamal
",352,16,27.07
" Afsar Zazai 
",264,17,17.60
" Fareed Ahmad
",1,5,–
" Rashid Khan 
",798,59,22.80
" Yamin Ahmadzai
",3,3,3.00
" Rokhan Barakzai
",–,1,–
" Naveen-ul-Haq
",0,2,–
" Ihsanullah
",307,16,21.92
" Karim Janat
",9,1,9.00
" Najeeb Tarakai
",5,1,5.00
" Mujeeb Ur Rahman
",41,30,5.85
" Hazratullah Zazai
",183,8,22.87
" Ikram Ali Khil 
",6,2,6.00
" Sayed Shirzad
",–,1,–
" Zahir Khan
",–,1,–
Greg Chappell,"2,331",72,40.18
Ian Chappell,673,16,48.07
Alan Connolly,0,0,n/a
Bill Lawry,27,1,27.00
Graham McKenzie,0,0,n/a
Ashley Mallett,14,3,7.00
Rod Marsh,"1,225",76,20.08
Ian Redpath,46,5,9.20
Keith Stackpole,224,6,37.33
Alan Thomson,0,0,n/a
Doug Walters,513,24,28.50
Ross Edwards,255,8,36.42
Dennis Lillee,240,34,9.23
Bob Massie,16,1,n/a
Paul Sheahan,75,3,25.00
Graeme Watson,11,2,11.00
David Colley,0,0,n/a
Jeff Hammond,15,1,n/a
Ray Bright,66,8,16.50
Ian Davis,12,3,6.00
Geoff Dymock,35,7,11.66
Gary Gilmour,42,2,42.00
Max Walker,79,11,9.87
Ashley Woodcock,53,1,53.00
Wally Edwards,2,1,2.00
Alan Hurst,7,4,n/a
Terry Jenner,12,1,12.00
Jeff Thomson,181,30,7.54
Rick McCosker,320,14,22.85
Alan Turner,247,6,41.16
Gary Cosier,154,7,30.80
David Hookes,826,36,24.29
Mick Malone,36,7,9.00
Kerry O'Keeffe,16,2,16.00
Len Pascoe,39,11,9.75
Craig Serjeant,73,3,24.33
Kim Hughes,"1,968",88,24.00
Richie Robinson,82,2,41.00
Ian Callen,6,3,6.00
Wayne Clark,0,0,n/a
Rick Darling,363,18,21.35
Trevor Laughlin,105,5,26.25
Steve Rixon,40,6,13.33
Bob Simpson,36,2,18.00
Peter Toohey,105,4,52.50
Graeme Wood,"2,219",77,33.62
Graham Yallop,823,27,39.19
Bruce Yardley,58,4,14.50
Allan Border,"6,524",252,30.62
